date,Metronidazole,,,,,,,
5/1/2016,52549,,,,,,,
6/1/2016,53421,,,,,,,
7/1/2016,53359,,,,,,,
8/1/2016,55465,,,,,,,
9/1/2016,56676,,,,,,,
10/1/2016,54652,,,,,,,
11/1/2016,55987,,,,,,,
12/1/2016,51391,,,,,,,
1/1/2017,53762,,,,,,,
2/1/2017,50147,,,,,,,
3/1/2017,56895,,,,,,,
4/1/2017,47218,,,,,,,
5/1/2017,51814,,,,,,,
6/1/2017,52307,,,,,,,
7/1/2017,52449,,,,,,,
8/1/2017,53212,,,,,,,
9/1/2017,52239,,,,,,,
10/1/2017,52463,,,,,,,
11/1/2017,51513,,,,,,,
12/1/2017,45958,,,,,,,
1/1/2018,51908,,,,,,,
2/1/2018,46917,,,,,,,
3/1/2018,49976,,,,,,,
4/1/2018,46406,,,,,,,
5/1/2018,47548,,,,,,,
6/1/2018,46587,,,,,,,
7/1/2018,47901,,,,,,,
8/1/2018,49498,,,,,,,
9/1/2018,46890,,,,,,,
10/1/2018,51332,,,,,,,
11/1/2018,49528,,,,,,,
12/1/2018,44265,,,,,,,
1/1/2019,49115,,,,,,,
2/1/2019,45461,,,,,,,
3/1/2019,49017,,,,,,,
4/1/2019,45215,,,,,,,
5/1/2019,47599,,,,,,,
6/1/2019,45077,,,,,,,
7/1/2019,47184,,,,,,,
8/1/2019,47663,,,,,,,
9/1/2019,46740,,,,,,,
10/1/2019,49407,,,,,,,
11/1/2019,46438,,,,,,,
12/1/2019,42672,,Point.Forecast,Lo.95,Hi.95,PercentChange,PercentDecrease,PercentIncrease
1/1/2020,47755,Jan-20,46407.625,43267.37752,49547.87248,2.821432311,9.397178257,-3.754313635
2/1/2020,43632,Feb-20,42320.95833,39180.71086,45461.20581,3.004770963,10.20189114,-4.192349216
3/1/2020,44666,Mar-20,46775.29167,43635.04419,49915.53914,-4.722365259,2.308144472,-11.75287499
4/1/2020,44027,Apr-20,41092.29167,37952.04419,44232.53914,6.66570135,13.79825064,-0.466847941
5/1/2020,41010,May-20,43393.28125,40293.70475,46492.85775,-5.811463667,1.746635589,-13.36956292
6/1/2020,42829,Jun-20,42863.78125,39764.20475,45963.35775,-0.081209578,7.155887961,-7.318307116
7/1/2020,44939,Jul-20,43739.03125,40639.45475,46838.60775,2.67021685,9.567514308,-4.227080609
8/1/2020,39150,Aug-20,44975.28125,41875.70475,48074.85775,-14.87939017,-6.9622088,-22.79657153
9/1/2020,44301,Sep-20,44152.03125,41052.45475,47251.60775,0.336264983,7.332893738,-6.660363773
10/1/2020,46769,Oct-20,45479.28125,42379.70475,48578.85775,2.757635934,9.385052609,-3.869780741
11/1/2020,46171,Nov-20,44382.28125,41282.70475,47481.85775,3.874117411,10.58737141,-2.83913659
12/1/2020,46602,Dec-20,39587.28125,36487.70475,42686.85775,15.0523985,21.70356477,8.401232233
1/1/2021,45212,Jan-21,43813.9375,40560.28738,47067.58762,3.09223768,10.28866809,-4.104192729
2/1/2021,43059,Feb-21,39727.27083,36473.62072,42980.92095,7.73759067,15.29385096,0.181330384
3/1/2021,46640,Mar-21,44181.60417,40927.95405,47435.25428,5.271003073,12.24709681,-1.705090659
4/1/2021,40965,Apr-21,38498.60417,35244.95405,41752.25428,6.020739249,13.96325143,-1.921772936
5/1/2021,39345,May-21,40799.59375,37562.70074,44036.48676,-3.697023129,4.529925681,-11.92397194
