,Point.Forecast,Lo.80,Hi.80,Lo.95,Hi.95,PercentageChange,PercentDecrease,PercentIncrease
Jan-20,69870.1875,67838.23192,71902.14308,66705.3795,73034.9955,2.11654712,6.550231156,-2.317136915
Feb-20,64075.52083,62043.56526,66107.47641,60910.71283,67240.32883,0.581038273,5.491523922,-4.329447377
Mar-20,69891.85417,67859.89859,71923.80974,66727.04617,73056.66217,10.22932829,14.29427897,6.16437761
Apr-20,64164.1875,62132.23192,66196.14308,60999.3795,67328.9955,12.14838027,16.48153744,7.815223104
May-20,66068.90104,64063.26238,68074.53971,62945.08211,69192.71998,-2.79577583,2.064534933,-7.656086593
Jun-20,64361.40104,62355.76238,66367.03971,61237.58211,67485.21998,-0.257650074,4.608414686,-5.123714835
Jul-20,63867.65104,61862.01238,65873.28971,60743.83211,66991.46998,1.754167115,6.559450978,-3.051116748
Aug-20,65191.15104,63185.51238,67196.78971,62067.33211,68314.96998,-11.05439515,-5.732908773,-16.37588153
Sep-20,65387.65104,63382.01238,67393.28971,62263.83211,68511.46998,-0.277042406,4.513576597,-5.067661409
Oct-20,70318.15104,68312.51238,72323.78971,67194.33211,73441.96998,-3.095211696,1.484697893,-7.675121286
Nov-20,71411.65104,69406.01238,73417.28971,68287.83211,74535.46998,-8.376815155,-3.635998464,-13.11763184
Dec-20,73872.40104,71866.76238,75878.03971,70748.58211,76996.21998,-3.143492888,1.218103478,-7.505089255
Jan-21,73433.44792,71328.11305,75538.78278,70154.35033,76712.5455,-10.60586805,-5.666873011,-15.54486309
Feb-21,67638.78125,65533.44639,69744.11611,64359.68366,70917.87884,-11.74792038,-6.33043164,-17.16540913
Mar-21,73455.11458,71349.77972,75560.44945,70176.017,76734.21217,-10.68351478,-5.742510354,-15.6245192
Apr-21,67727.44792,65622.11305,69832.78278,64448.35033,71006.5455,-8.272101924,-3.029991095,-13.51421275
May-21,69632.16146,67537.66959,71726.65332,66369.95204,72894.37088,-18.18286369,-12.64609386,-23.71963353
